patient_id,condition,repetition,micro_f1,omission_count,hallucination_count
patient_05,section_redundancy,16,0.3529411764705882,6.0,5.0
patient_06,filler_control,1,0.6,2.0,2.0
patient_06,filler_control,5,0.6,2.0,2.0
patient_06,filler_control,10,0.6,2.0,2.0
patient_06,filler_control,16,0.6,2.0,2.0
patient_06,section_redundancy,1,0.6,2.0,2.0
patient_06,section_redundancy,5,0.6,2.0,2.0
patient_06,section_redundancy,10,0.2,4.0,4.0
patient_06,section_redundancy,16,0.2,4.0,4.0
patient_07,filler_control,1,0.5714285714285714,3.0,3.0
patient_07,filler_control,5,0.5714285714285714,3.0,3.0
patient_07,filler_control,10,0.5714285714285714,3.0,3.0
patient_07,filler_control,16,0.5714285714285714,3.0,3.0
patient_07,section_redundancy,1,0.5714285714285714,3.0,3.0
patient_07,section_redundancy,5,0.2857142857142857,5.0,5.0
patient_07,section_redundancy,10,0.2857142857142857,5.0,5.0
patient_07,section_redundancy,16,0.2857142857142857,5.0,5.0
patient_08,filler_control,1,0.4705882352941176,5.0,4.0
patient_08,filler_control,5,0.4705882352941176,5.0,4.0
patient_08,filler_control,10,0.4705882352941176,5.0,4.0
patient_08,filler_control,16,0.4705882352941176,5.0,4.0
patient_08,section_redundancy,1,0.4705882352941176,5.0,4.0
patient_08,section_redundancy,5,0.4705882352941176,5.0,4.0
patient_08,section_redundancy,10,0.2352941176470588,7.0,6.0
patient_08,section_redundancy,16,0.4705882352941176,5.0,4.0
patient_09,filler_control,1,0.2,4.0,4.0
patient_09,filler_control,5,0.6,2.0,2.0
patient_09,filler_control,10,0.6,2.0,2.0
patient_09,filler_control,16,0.6,2.0,2.0
patient_09,section_redundancy,1,0.2,4.0,4.0
patient_09,section_redundancy,5,0.6,2.0,2.0
patient_09,section_redundancy,10,0.6,2.0,2.0
patient_09,section_redundancy,16,0.6,2.0,2.0
patient_10,filler_control,1,0.4285714285714285,4.0,4.0
patient_10,filler_control,5,0.4285714285714285,4.0,4.0
patient_10,filler_control,10,0.4285714285714285,4.0,4.0
patient_10,filler_control,16,0.4285714285714285,4.0,4.0
patient_10,section_redundancy,1,0.4285714285714285,4.0,4.0
patient_10,section_redundancy,5,0.4285714285714285,4.0,4.0
patient_10,section_redundancy,10,0.4285714285714285,4.0,4.0
patient_10,section_redundancy,16,0.2666666666666666,5.0,6.0
patient_100,filler_control,1,0.4285714285714285,4.0,4.0
patient_100,filler_control,5,0.4285714285714285,4.0,4.0
patient_100,filler_control,10,0.4285714285714285,4.0,4.0
patient_100,filler_control,16,0.4285714285714285,4.0,4.0
patient_100,section_redundancy,1,0.4285714285714285,4.0,4.0
patient_100,section_redundancy,5,0.4285714285714285,4.0,4.0
patient_100,section_redundancy,10,0.4285714285714285,4.0,4.0
patient_100,section_redundancy,16,0.2666666666666666,5.0,6.0
patient_11,filler_control,1,0.3529411764705882,6.0,5.0
patient_11,filler_control,5,0.375,6.0,4.0
patient_11,filler_control,10,0.25,7.0,5.0
patient_11,filler_control,16,0.25,7.0,5.0
patient_11,section_redundancy,1,0.25,7.0,5.0
patient_11,section_redundancy,5,0.3529411764705882,6.0,5.0
patient_11,section_redundancy,10,0.3529411764705882,6.0,5.0
patient_11,section_redundancy,16,0.2352941176470588,7.0,6.0
patient_12,filler_control,1,0.7142857142857143,2.0,2.0
patient_12,filler_control,5,0.7142857142857143,2.0,2.0
patient_12,filler_control,10,0.7142857142857143,2.0,2.0
patient_12,filler_control,16,0.7142857142857143,2.0,2.0
patient_12,section_redundancy,1,0.7142857142857143,2.0,2.0
patient_12,section_redundancy,5,0.7142857142857143,2.0,2.0
patient_12,section_redundancy,10,0.7142857142857143,2.0,2.0
patient_12,section_redundancy,16,0.7142857142857143,2.0,2.0
patient_13,filler_control,1,0.4444444444444444,5.0,5.0
patient_13,filler_control,5,0.4444444444444444,5.0,5.0
patient_13,filler_control,10,0.4444444444444444,5.0,5.0
patient_13,filler_control,16,0.4444444444444444,5.0,5.0
patient_13,section_redundancy,1,0.4444444444444444,5.0,5.0
patient_13,section_redundancy,5,0.4444444444444444,5.0,5.0
patient_13,section_redundancy,10,0.4444444444444444,5.0,5.0
patient_13,section_redundancy,16,0.4444444444444444,5.0,5.0
patient_14,filler_control,1,0.6666666666666666,2.0,2.0
patient_14,filler_control,5,0.6666666666666666,2.0,2.0
patient_14,filler_control,10,0.6666666666666666,2.0,2.0
patient_14,filler_control,16,0.6666666666666666,2.0,2.0
patient_14,section_redundancy,1,0.6666666666666666,2.0,2.0
patient_14,section_redundancy,5,0.6666666666666666,2.0,2.0
patient_14,section_redundancy,10,0.6666666666666666,2.0,2.0
patient_14,section_redundancy,16,0.6666666666666666,2.0,2.0
patient_15,filler_control,1,0.3529411764705882,6.0,5.0
patient_15,filler_control,5,0.3529411764705882,6.0,5.0
patient_15,filler_control,10,0.3529411764705882,6.0,5.0
patient_15,filler_control,16,0.3529411764705882,6.0,5.0
patient_15,section_redundancy,1,0.3529411764705882,6.0,5.0
patient_15,section_redundancy,5,0.3529411764705882,6.0,5.0
patient_15,section_redundancy,10,0.3529411764705882,6.0,5.0
patient_15,section_redundancy,16,0.3529411764705882,6.0,5.0
patient_16,filler_control,1,0.6,2.0,2.0
patient_16,filler_control,5,0.6,2.0,2.0
patient_16,filler_control,10,0.6,2.0,2.0
patient_16,filler_control,16,0.6,2.0,2.0
patient_16,section_redundancy,1,0.6,2.0,2.0
patient_16,section_redundancy,5,0.6,2.0,2.0
patient_16,section_redundancy,10,0.2,4.0,4.0
patient_16,section_redundancy,16,0.2,4.0,4.0
patient_17,filler_control,1,0.5714285714285714,3.0,3.0
patient_17,filler_control,5,0.5714285714285714,3.0,3.0
patient_17,filler_control,10,0.5714285714285714,3.0,3.0
patient_17,filler_control,16,0.5714285714285714,3.0,3.0
patient_17,section_redundancy,1,0.5714285714285714,3.0,3.0
patient_17,section_redundancy,5,0.2857142857142857,5.0,5.0
patient_17,section_redundancy,10,0.2857142857142857,5.0,5.0
patient_17,section_redundancy,16,0.2857142857142857,5.0,5.0
patient_18,filler_control,1,0.4705882352941176,5.0,4.0
patient_18,filler_control,5,0.4705882352941176,5.0,4.0
patient_18,filler_control,10,0.4705882352941176,5.0,4.0
patient_18,filler_control,16,0.4705882352941176,5.0,4.0
patient_18,section_redundancy,1,0.4705882352941176,5.0,4.0
patient_18,section_redundancy,5,0.4705882352941176,5.0,4.0
patient_18,section_redundancy,10,0.2222222222222222,7.0,7.0
patient_18,section_redundancy,16,0.4705882352941176,5.0,4.0
patient_19,filler_control,1,0.6,2.0,2.0
patient_19,filler_control,5,0.2,4.0,4.0
patient_19,filler_control,10,0.6,2.0,2.0
patient_19,filler_control,16,0.6,2.0,2.0
patient_19,section_redundancy,1,0.2,4.0,4.0
patient_19,section_redundancy,5,0.6,2.0,2.0
patient_19,section_redundancy,10,0.6,2.0,2.0
patient_19,section_redundancy,16,0.6,2.0,2.0
patient_20,filler_control,1,0.4285714285714285,4.0,4.0
patient_20,filler_control,5,0.4285714285714285,4.0,4.0
patient_20,filler_control,10,0.4285714285714285,4.0,4.0
patient_20,filler_control,16,0.4285714285714285,4.0,4.0
patient_20,section_redundancy,1,0.4285714285714285,4.0,4.0
patient_20,section_redundancy,5,0.4285714285714285,4.0,4.0
patient_20,section_redundancy,10,0.4285714285714285,4.0,4.0
patient_20,section_redundancy,16,0.2666666666666666,5.0,6.0
patient_21,filler_control,1,0.3529411764705882,6.0,5.0
patient_21,filler_control,5,0.375,6.0,4.0
patient_21,filler_control,10,0.25,7.0,5.0
patient_21,filler_control,16,0.25,7.0,5.0
patient_21,section_redundancy,1,0.25,7.0,5.0
patient_21,section_redundancy,5,0.3529411764705882,6.0,5.0
patient_21,section_redundancy,10,0.3529411764705882,6.0,5.0
patient_21,section_redundancy,16,0.2352941176470588,7.0,6.0
patient_22,filler_control,1,0.7142857142857143,2.0,2.0
patient_22,filler_control,5,0.7142857142857143,2.0,2.0
patient_22,filler_control,10,0.7142857142857143,2.0,2.0
patient_22,filler_control,16,0.7142857142857143,2.0,2.0
patient_22,section_redundancy,1,0.7142857142857143,2.0,2.0
patient_22,section_redundancy,5,0.7142857142857143,2.0,2.0
patient_22,section_redundancy,10,0.7142857142857143,2.0,2.0
patient_22,section_redundancy,16,0.7142857142857143,2.0,2.0
patient_23,filler_control,1,0.4444444444444444,5.0,5.0
patient_23,filler_control,5,0.4444444444444444,5.0,5.0
patient_23,filler_control,10,0.4444444444444444,5.0,5.0
patient_23,filler_control,16,0.4444444444444444,5.0,5.0
patient_23,section_redundancy,1,0.4444444444444444,5.0,5.0
patient_23,section_redundancy,5,0.4444444444444444,5.0,5.0
patient_23,section_redundancy,10,0.4444444444444444,5.0,5.0
patient_23,section_redundancy,16,0.4444444444444444,5.0,5.0
patient_24,filler_control,1,0.6666666666666666,2.0,2.0
patient_24,filler_control,5,0.6666666666666666,2.0,2.0
patient_24,filler_control,10,0.6666666666666666,2.0,2.0
patient_24,filler_control,16,0.6666666666666666,2.0,2.0
patient_24,section_redundancy,1,0.6666666666666666,2.0,2.0
patient_24,section_redundancy,5,0.6666666666666666,2.0,2.0
patient_24,section_redundancy,10,0.6666666666666666,2.0,2.0
patient_24,section_redundancy,16,0.6666666666666666,2.0,2.0
patient_25,filler_control,1,0.3529411764705882,6.0,5.0
patient_25,filler_control,5,0.3529411764705882,6.0,5.0
patient_25,filler_control,10,0.3529411764705882,6.0,5.0
patient_25,filler_control,16,0.3529411764705882,6.0,5.0
patient_25,section_redundancy,1,0.3529411764705882,6.0,5.0
patient_25,section_redundancy,5,0.3529411764705882,6.0,5.0
patient_25,section_redundancy,10,0.3529411764705882,6.0,5.0
patient_25,section_redundancy,16,0.3529411764705882,6.0,5.0
patient_26,filler_control,1,0.6,2.0,2.0
patient_26,filler_control,5,0.6,2.0,2.0
patient_26,filler_control,10,0.6,2.0,2.0
patient_26,filler_control,16,0.6,2.0,2.0
patient_26,section_redundancy,1,0.6,2.0,2.0
patient_26,section_redundancy,5,0.6,2.0,2.0
patient_26,section_redundancy,10,0.2,4.0,4.0
patient_26,section_redundancy,16,0.2,4.0,4.0
patient_27,filler_control,1,0.5714285714285714,3.0,3.0
patient_27,filler_control,5,0.5714285714285714,3.0,3.0
patient_27,filler_control,10,0.5714285714285714,3.0,3.0
patient_27,filler_control,16,0.5714285714285714,3.0,3.0
patient_27,section_redundancy,1,0.5714285714285714,3.0,3.0
patient_27,section_redundancy,5,0.2857142857142857,5.0,5.0
patient_27,section_redundancy,10,0.2857142857142857,5.0,5.0
patient_27,section_redundancy,16,0.2857142857142857,5.0,5.0
patient_28,filler_control,1,0.4705882352941176,5.0,4.0
patient_28,filler_control,5,0.4705882352941176,5.0,4.0
patient_28,filler_control,10,0.4705882352941176,5.0,4.0
patient_28,filler_control,16,0.4705882352941176,5.0,4.0
patient_28,section_redundancy,1,0.4705882352941176,5.0,4.0
patient_28,section_redundancy,5,0.4705882352941176,5.0,4.0
patient_28,section_redundancy,10,0.2352941176470588,7.0,6.0
patient_28,section_redundancy,16,0.4705882352941176,5.0,4.0
patient_29,filler_control,1,0.2,4.0,4.0
patient_29,filler_control,5,0.6,2.0,2.0
patient_29,filler_control,10,0.6,2.0,2.0
patient_29,filler_control,16,0.6,2.0,2.0
patient_29,section_redundancy,1,0.2,4.0,4.0
patient_29,section_redundancy,5,0.6,2.0,2.0
patient_29,section_redundancy,10,0.6,2.0,2.0
patient_29,section_redundancy,16,0.6,2.0,2.0
patient_30,filler_control,1,0.4285714285714285,4.0,4.0
patient_30,filler_control,5,0.4285714285714285,4.0,4.0
patient_30,filler_control,10,0.4285714285714285,4.0,4.0
patient_30,filler_control,16,0.4285714285714285,4.0,4.0
patient_30,section_redundancy,1,0.4285714285714285,4.0,4.0
patient_30,section_redundancy,5,0.4285714285714285,4.0,4.0
patient_30,section_redundancy,10,0.4285714285714285,4.0,4.0
patient_30,section_redundancy,16,0.2666666666666666,5.0,6.0
patient_31,filler_control,1,0.2352941176470588,7.0,6.0
patient_31,filler_control,5,0.375,6.0,4.0
patient_31,filler_control,10,0.25,7.0,5.0
patient_31,filler_control,16,0.375,6.0,4.0
patient_31,section_redundancy,1,0.25,7.0,5.0
patient_31,section_redundancy,5,0.3529411764705882,6.0,5.0
patient_31,section_redundancy,10,0.3529411764705882,6.0,5.0
patient_31,section_redundancy,16,0.2352941176470588,7.0,6.0
patient_32,filler_control,1,0.7142857142857143,2.0,2.0
patient_32,filler_control,5,0.7142857142857143,2.0,2.0
patient_32,filler_control,10,0.7142857142857143,2.0,2.0
patient_32,filler_control,16,0.7142857142857143,2.0,2.0
patient_32,section_redundancy,1,0.7142857142857143,2.0,2.0
patient_32,section_redundancy,5,0.7142857142857143,2.0,2.0
patient_32,section_redundancy,10,0.7142857142857143,2.0,2.0
patient_32,section_redundancy,16,0.7142857142857143,2.0,2.0
patient_33,filler_control,1,0.4444444444444444,5.0,5.0
patient_33,filler_control,5,0.4444444444444444,5.0,5.0
patient_33,filler_control,10,0.4444444444444444,5.0,5.0
patient_33,filler_control,16,0.4444444444444444,5.0,5.0
patient_33,section_redundancy,1,0.4444444444444444,5.0,5.0
patient_33,section_redundancy,5,0.4444444444444444,5.0,5.0
patient_33,section_redundancy,10,0.4444444444444444,5.0,5.0
patient_33,section_redundancy,16,0.4444444444444444,5.0,5.0
patient_34,filler_control,1,0.6666666666666666,2.0,2.0
patient_34,filler_control,5,0.6666666666666666,2.0,2.0
patient_34,filler_control,10,0.6666666666666666,2.0,2.0
patient_34,filler_control,16,0.6666666666666666,2.0,2.0
patient_34,section_redundancy,1,0.6666666666666666,2.0,2.0
patient_34,section_redundancy,5,0.6666666666666666,2.0,2.0
patient_34,section_redundancy,10,0.6666666666666666,2.0,2.0
patient_34,section_redundancy,16,0.6666666666666666,2.0,2.0
patient_35,filler_control,1,0.3529411764705882,6.0,5.0
patient_35,filler_control,5,0.3529411764705882,6.0,5.0
patient_35,filler_control,10,0.3529411764705882,6.0,5.0
patient_35,filler_control,16,0.3529411764705882,6.0,5.0
patient_35,section_redundancy,1,0.3529411764705882,6.0,5.0
patient_35,section_redundancy,5,0.3529411764705882,6.0,5.0
patient_35,section_redundancy,10,0.3529411764705882,6.0,5.0
patient_35,section_redundancy,16,0.3529411764705882,6.0,5.0
patient_36,filler_control,1,0.6,2.0,2.0
patient_36,filler_control,5,0.6,2.0,2.0
patient_36,filler_control,10,0.6,2.0,2.0
patient_36,filler_control,16,0.6,2.0,2.0
patient_36,section_redundancy,1,0.6,2.0,2.0
patient_36,section_redundancy,5,0.6,2.0,2.0
patient_36,section_redundancy,10,0.2,4.0,4.0
patient_36,section_redundancy,16,0.2,4.0,4.0
patient_37,filler_control,1,0.5714285714285714,3.0,3.0
patient_37,filler_control,5,0.5714285714285714,3.0,3.0
patient_37,filler_control,10,0.5714285714285714,3.0,3.0
patient_37,filler_control,16,0.5714285714285714,3.0,3.0
patient_37,section_redundancy,1,0.5714285714285714,3.0,3.0
patient_37,section_redundancy,5,0.2857142857142857,5.0,5.0
patient_37,section_redundancy,10,0.2857142857142857,5.0,5.0
patient_37,section_redundancy,16,0.2857142857142857,5.0,5.0
patient_38,filler_control,1,0.4705882352941176,5.0,4.0
patient_38,filler_control,5,0.4705882352941176,5.0,4.0
patient_38,filler_control,10,0.4705882352941176,5.0,4.0
patient_38,filler_control,16,0.4705882352941176,5.0,4.0
patient_38,section_redundancy,1,0.4705882352941176,5.0,4.0
patient_38,section_redundancy,5,0.4705882352941176,5.0,4.0
patient_38,section_redundancy,10,0.2222222222222222,7.0,7.0
patient_38,section_redundancy,16,0.4705882352941176,5.0,4.0
patient_39,filler_control,1,0.2,4.0,4.0
patient_39,filler_control,5,0.6,2.0,2.0
patient_39,filler_control,10,0.6,2.0,2.0
patient_39,filler_control,16,0.6,2.0,2.0
patient_39,section_redundancy,1,0.2,4.0,4.0
patient_39,section_redundancy,5,0.6,2.0,2.0
patient_39,section_redundancy,10,0.6,2.0,2.0
patient_39,section_redundancy,16,0.6,2.0,2.0
patient_40,filler_control,1,0.4285714285714285,4.0,4.0
patient_40,filler_control,5,0.4285714285714285,4.0,4.0
patient_40,filler_control,10,0.4285714285714285,4.0,4.0
patient_40,filler_control,16,0.4285714285714285,4.0,4.0
patient_40,section_redundancy,1,0.4285714285714285,4.0,4.0
patient_40,section_redundancy,5,0.4285714285714285,4.0,4.0
patient_40,section_redundancy,10,0.4285714285714285,4.0,4.0
patient_40,section_redundancy,16,0.2666666666666666,5.0,6.0
patient_41,filler_control,1,0.3529411764705882,6.0,5.0
patient_41,filler_control,5,0.375,6.0,4.0
patient_41,filler_control,10,0.25,7.0,5.0
patient_41,filler_control,16,0.25,7.0,5.0
patient_41,section_redundancy,1,0.2352941176470588,7.0,6.0
patient_41,section_redundancy,5,0.3529411764705882,6.0,5.0
patient_41,section_redundancy,10,0.3529411764705882,6.0,5.0
patient_41,section_redundancy,16,0.2352941176470588,7.0,6.0
patient_42,filler_control,1,0.7142857142857143,2.0,2.0
patient_42,filler_control,5,0.7142857142857143,2.0,2.0
patient_42,filler_control,10,0.7142857142857143,2.0,2.0
patient_42,filler_control,16,0.7142857142857143,2.0,2.0
patient_42,section_redundancy,1,0.7142857142857143,2.0,2.0
patient_42,section_redundancy,5,0.7142857142857143,2.0,2.0
patient_42,section_redundancy,10,0.7142857142857143,2.0,2.0
patient_42,section_redundancy,16,0.7142857142857143,2.0,2.0
patient_43,filler_control,1,0.4444444444444444,5.0,5.0
patient_43,filler_control,5,0.4444444444444444,5.0,5.0
patient_43,filler_control,10,0.4444444444444444,5.0,5.0
patient_43,filler_control,16,0.4444444444444444,5.0,5.0
patient_43,section_redundancy,1,0.4444444444444444,5.0,5.0
patient_43,section_redundancy,5,0.4444444444444444,5.0,5.0
patient_43,section_redundancy,10,0.4444444444444444,5.0,5.0
patient_43,section_redundancy,16,0.4444444444444444,5.0,5.0
patient_44,filler_control,1,0.6666666666666666,2.0,2.0
patient_44,filler_control,5,0.6666666666666666,2.0,2.0
patient_44,filler_control,10,0.6666666666666666,2.0,2.0
patient_44,filler_control,16,0.6666666666666666,2.0,2.0
patient_44,section_redundancy,1,0.6666666666666666,2.0,2.0
patient_44,section_redundancy,5,0.6666666666666666,2.0,2.0
patient_44,section_redundancy,10,0.6666666666666666,2.0,2.0
patient_44,section_redundancy,16,0.6666666666666666,2.0,2.0
patient_45,filler_control,1,0.3529411764705882,6.0,5.0
patient_45,filler_control,5,0.3529411764705882,6.0,5.0
patient_45,filler_control,10,0.3529411764705882,6.0,5.0
patient_45,filler_control,16,0.3529411764705882,6.0,5.0
patient_45,section_redundancy,1,0.3529411764705882,6.0,5.0
patient_45,section_redundancy,5,0.3529411764705882,6.0,5.0
patient_45,section_redundancy,10,0.3529411764705882,6.0,5.0
patient_45,section_redundancy,16,0.3529411764705882,6.0,5.0
patient_46,filler_control,1,0.6,2.0,2.0
patient_46,filler_control,5,0.6,2.0,2.0
patient_46,filler_control,10,0.6,2.0,2.0
patient_46,filler_control,16,0.6,2.0,2.0
patient_46,section_redundancy,1,0.6,2.0,2.0
patient_46,section_redundancy,5,0.6,2.0,2.0
patient_46,section_redundancy,10,0.2,4.0,4.0
patient_46,section_redundancy,16,0.2,4.0,4.0
patient_47,filler_control,1,0.5714285714285714,3.0,3.0
patient_47,filler_control,5,0.5714285714285714,3.0,3.0
patient_47,filler_control,10,0.5714285714285714,3.0,3.0
patient_47,filler_control,16,0.5714285714285714,3.0,3.0
patient_47,section_redundancy,1,0.5714285714285714,3.0,3.0
patient_47,section_redundancy,5,0.2857142857142857,5.0,5.0
patient_47,section_redundancy,10,0.2857142857142857,5.0,5.0
patient_47,section_redundancy,16,0.2857142857142857,5.0,5.0
patient_48,filler_control,1,0.4705882352941176,5.0,4.0
patient_48,filler_control,5,0.4705882352941176,5.0,4.0
patient_48,filler_control,10,0.4705882352941176,5.0,4.0
patient_48,filler_control,16,0.4705882352941176,5.0,4.0
patient_48,section_redundancy,1,0.4705882352941176,5.0,4.0
patient_48,section_redundancy,5,0.4705882352941176,5.0,4.0
patient_48,section_redundancy,10,0.2352941176470588,7.0,6.0
patient_48,section_redundancy,16,0.4705882352941176,5.0,4.0
patient_49,filler_control,1,0.2,4.0,4.0
patient_49,filler_control,5,0.6,2.0,2.0
patient_49,filler_control,10,0.6,2.0,2.0
patient_49,filler_control,16,0.6,2.0,2.0
patient_49,section_redundancy,1,0.2,4.0,4.0
patient_49,section_redundancy,5,0.6,2.0,2.0
patient_49,section_redundancy,10,0.6,2.0,2.0
patient_49,section_redundancy,16,0.6,2.0,2.0
patient_50,filler_control,1,0.4285714285714285,4.0,4.0
patient_50,filler_control,5,0.4285714285714285,4.0,4.0
patient_50,filler_control,10,0.4285714285714285,4.0,4.0
patient_50,filler_control,16,0.4285714285714285,4.0,4.0
patient_50,section_redundancy,1,0.4285714285714285,4.0,4.0
patient_50,section_redundancy,5,0.4285714285714285,4.0,4.0
patient_50,section_redundancy,10,0.4285714285714285,4.0,4.0
patient_50,section_redundancy,16,0.2666666666666666,5.0,6.0
patient_51,filler_control,1,0.25,7.0,5.0
patient_51,filler_control,5,0.375,6.0,4.0
patient_51,filler_control,10,0.25,7.0,5.0
patient_51,filler_control,16,0.125,8.0,6.0
patient_51,section_redundancy,1,0.3529411764705882,6.0,5.0
patient_51,section_redundancy,5,0.3529411764705882,6.0,5.0
patient_51,section_redundancy,10,0.3529411764705882,6.0,5.0
patient_51,section_redundancy,16,0.2352941176470588,7.0,6.0
patient_52,filler_control,1,0.7142857142857143,2.0,2.0
patient_52,filler_control,5,0.7142857142857143,2.0,2.0
patient_52,filler_control,10,0.7142857142857143,2.0,2.0
patient_52,filler_control,16,0.7142857142857143,2.0,2.0
patient_52,section_redundancy,1,0.7142857142857143,2.0,2.0
patient_52,section_redundancy,5,0.7142857142857143,2.0,2.0
patient_52,section_redundancy,10,0.7142857142857143,2.0,2.0
patient_52,section_redundancy,16,0.7142857142857143,2.0,2.0
patient_53,filler_control,1,0.4444444444444444,5.0,5.0
patient_53,filler_control,5,0.4444444444444444,5.0,5.0
patient_53,filler_control,10,0.4444444444444444,5.0,5.0
patient_53,filler_control,16,0.4444444444444444,5.0,5.0
patient_53,section_redundancy,1,0.4444444444444444,5.0,5.0
patient_53,section_redundancy,5,0.4444444444444444,5.0,5.0
patient_53,section_redundancy,10,0.4444444444444444,5.0,5.0
patient_53,section_redundancy,16,0.4444444444444444,5.0,5.0
patient_54,filler_control,1,0.6666666666666666,2.0,2.0
patient_54,filler_control,5,0.6666666666666666,2.0,2.0
patient_54,filler_control,10,0.6666666666666666,2.0,2.0
patient_54,filler_control,16,0.6666666666666666,2.0,2.0
patient_54,section_redundancy,1,0.6666666666666666,2.0,2.0
patient_54,section_redundancy,5,0.6666666666666666,2.0,2.0
patient_54,section_redundancy,10,0.6666666666666666,2.0,2.0
patient_54,section_redundancy,16,0.6666666666666666,2.0,2.0
patient_55,filler_control,1,0.3529411764705882,6.0,5.0
patient_55,filler_control,5,0.3529411764705882,6.0,5.0
patient_55,filler_control,10,0.3529411764705882,6.0,5.0
patient_55,filler_control,16,0.3529411764705882,6.0,5.0
patient_55,section_redundancy,1,0.3529411764705882,6.0,5.0
patient_55,section_redundancy,5,0.3529411764705882,6.0,5.0
patient_55,section_redundancy,10,0.3529411764705882,6.0,5.0
patient_55,section_redundancy,16,0.3529411764705882,6.0,5.0
patient_56,filler_control,1,0.6,2.0,2.0
patient_56,filler_control,5,0.6,2.0,2.0
patient_56,filler_control,10,0.6,2.0,2.0
patient_56,filler_control,16,0.6,2.0,2.0
patient_56,section_redundancy,1,0.6,2.0,2.0
patient_56,section_redundancy,5,0.6,2.0,2.0
patient_56,section_redundancy,10,0.2,4.0,4.0
patient_56,section_redundancy,16,0.2,4.0,4.0
patient_57,filler_control,1,0.5714285714285714,3.0,3.0
patient_57,filler_control,5,0.5714285714285714,3.0,3.0
patient_57,filler_control,10,0.5714285714285714,3.0,3.0
patient_57,filler_control,16,0.5714285714285714,3.0,3.0
patient_57,section_redundancy,1,0.5714285714285714,3.0,3.0
patient_57,section_redundancy,5,0.2857142857142857,5.0,5.0
patient_57,section_redundancy,10,0.2857142857142857,5.0,5.0
patient_57,section_redundancy,16,0.2857142857142857,5.0,5.0
patient_58,filler_control,1,0.4705882352941176,5.0,4.0
patient_58,filler_control,5,0.4705882352941176,5.0,4.0
patient_58,filler_control,10,0.4705882352941176,5.0,4.0
patient_58,filler_control,16,0.4705882352941176,5.0,4.0
patient_58,section_redundancy,1,0.4705882352941176,5.0,4.0
patient_58,section_redundancy,5,0.4705882352941176,5.0,4.0
patient_58,section_redundancy,10,0.2352941176470588,7.0,6.0
patient_58,section_redundancy,16,0.4705882352941176,5.0,4.0
patient_59,filler_control,1,0.2,4.0,4.0
patient_59,filler_control,5,0.6,2.0,2.0
patient_59,filler_control,10,0.6,2.0,2.0
patient_59,filler_control,16,0.6,2.0,2.0
patient_59,section_redundancy,1,0.2,4.0,4.0
patient_59,section_redundancy,5,0.6,2.0,2.0
patient_59,section_redundancy,10,0.6,2.0,2.0
patient_59,section_redundancy,16,0.6,2.0,2.0
patient_60,filler_control,1,0.4285714285714285,4.0,4.0
patient_60,filler_control,5,0.4285714285714285,4.0,4.0
patient_60,filler_control,10,0.4285714285714285,4.0,4.0
patient_60,filler_control,16,0.4285714285714285,4.0,4.0
