condition,patient_id,repetition,run,prompt_tokens,completion_tokens,total_tokens
redundancy,patient_87,1,1,299,113,412
redundancy,patient_87,16,1,2654,112,2766
redundancy,patient_87,10,1,1712,112,1824
redundancy,patient_86,5,1,847,91,938
redundancy,patient_86,1,1,283,91,374
redundancy,patient_86,16,1,2398,91,2489
redundancy,patient_86,10,1,1552,91,1643
redundancy,patient_85,5,1,1057,122,1179
redundancy,patient_85,1,1,325,133,458
redundancy,patient_85,16,1,3070,121,3191
redundancy,patient_85,10,1,1972,122,2094
redundancy,patient_84,5,1,832,85,917
redundancy,patient_84,1,1,280,92,372
redundancy,patient_84,16,1,2350,85,2435
redundancy,patient_84,10,1,1522,85,1607
redundancy,patient_83,5,1,1197,136,1333
redundancy,patient_83,1,1,353,149,502
redundancy,patient_83,16,1,3518,136,3654
redundancy,patient_83,10,1,2252,136,2388
redundancy,patient_82,5,1,1132,112,1244
redundancy,patient_82,1,1,340,177,517
redundancy,patient_82,16,1,3310,117,3427
redundancy,patient_82,10,1,2122,112,2234
redundancy,patient_81,5,1,1412,111,1523
redundancy,patient_81,1,1,396,230,626
redundancy,patient_81,16,1,4206,138,4344
redundancy,patient_81,10,1,2682,138,2820
redundancy,patient_80,5,1,1042,116,1158
redundancy,patient_80,1,1,322,121,443
redundancy,patient_80,16,1,3022,116,3138
redundancy,patient_80,10,1,1942,116,2058
redundancy,patient_79,5,1,782,89,871
redundancy,patient_79,1,1,270,100,370
redundancy,patient_79,16,1,2190,94,2284
redundancy,patient_79,10,1,1422,89,1511
redundancy,patient_78,5,1,1097,130,1227
redundancy,patient_78,1,1,333,139,472
redundancy,patient_78,16,1,3198,130,3328
redundancy,patient_78,10,1,2052,130,2182
redundancy,patient_77,5,1,927,112,1039
redundancy,patient_77,1,1,299,113,412
redundancy,patient_77,16,1,2654,112,2766
redundancy,patient_77,10,1,1712,112,1824
redundancy,patient_76,5,1,847,91,938
redundancy,patient_76,1,1,283,91,374
redundancy,patient_76,16,1,2398,91,2489
redundancy,patient_76,10,1,1552,91,1643
redundancy,patient_75,5,1,1057,122,1179
redundancy,patient_75,1,1,325,133,458
redundancy,patient_75,16,1,3070,121,3191
redundancy,patient_75,10,1,1972,122,2094
redundancy,patient_74,5,1,832,85,917
redundancy,patient_74,1,1,280,92,372
redundancy,patient_74,16,1,2350,85,2435
redundancy,patient_74,10,1,1522,85,1607
redundancy,patient_73,5,1,1197,136,1333
redundancy,patient_73,1,1,353,149,502
redundancy,patient_73,16,1,3518,136,3654
redundancy,patient_73,10,1,2252,136,2388
redundancy,patient_72,5,1,1132,112,1244
redundancy,patient_72,1,1,340,177,517
redundancy,patient_72,16,1,3310,117,3427
redundancy,patient_72,10,1,2122,112,2234
redundancy,patient_71,5,1,1412,134,1546
redundancy,patient_71,1,1,396,230,626
redundancy,patient_71,16,1,4206,138,4344
redundancy,patient_71,10,1,2682,138,2820
redundancy,patient_70,5,1,1042,116,1158
redundancy,patient_70,1,1,322,121,443
redundancy,patient_70,16,1,3022,116,3138
redundancy,patient_70,10,1,1942,116,2058
redundancy,patient_69,5,1,782,89,871
redundancy,patient_69,1,1,270,100,370
redundancy,patient_69,16,1,2190,94,2284
redundancy,patient_69,10,1,1422,89,1511
redundancy,patient_68,5,1,1097,130,1227
redundancy,patient_68,1,1,333,139,472
redundancy,patient_68,16,1,3198,130,3328
redundancy,patient_68,10,1,2052,130,2182
redundancy,patient_67,5,1,927,112,1039
redundancy,patient_67,1,1,299,113,412
redundancy,patient_67,16,1,2654,112,2766
redundancy,patient_67,10,1,1712,112,1824
redundancy,patient_66,5,1,847,91,938
redundancy,patient_66,1,1,283,91,374
redundancy,patient_66,16,1,2398,91,2489
redundancy,patient_66,10,1,1552,91,1643
redundancy,patient_65,5,1,1057,122,1179
redundancy,patient_65,1,1,325,133,458
redundancy,patient_65,16,1,3070,121,3191
redundancy,patient_65,10,1,1972,122,2094
redundancy,patient_64,5,1,832,85,917
redundancy,patient_64,1,1,280,92,372
redundancy,patient_64,16,1,2350,85,2435
redundancy,patient_64,10,1,1522,85,1607
redundancy,patient_63,5,1,1197,136,1333
redundancy,patient_63,1,1,353,149,502
redundancy,patient_63,16,1,3518,136,3654
redundancy,patient_63,10,1,2252,136,2388
redundancy,patient_62,5,1,1132,112,1244
redundancy,patient_62,1,1,340,177,517
redundancy,patient_62,16,1,3310,117,3427
redundancy,patient_62,10,1,2122,112,2234
redundancy,patient_61,5,1,1412,134,1546
redundancy,patient_61,1,1,396,230,626
redundancy,patient_61,16,1,4206,138,4344
redundancy,patient_61,10,1,2682,138,2820
redundancy,patient_60,5,1,1042,116,1158
redundancy,patient_60,1,1,322,121,443
redundancy,patient_60,16,1,3022,116,3138
redundancy,patient_60,10,1,1942,116,2058
redundancy,patient_59,5,1,782,89,871
redundancy,patient_59,1,1,270,171,441
redundancy,patient_59,16,1,2190,94,2284
redundancy,patient_59,10,1,1422,89,1511
redundancy,patient_58,5,1,1097,130,1227
redundancy,patient_58,1,1,333,139,472
redundancy,patient_58,16,1,3198,130,3328
redundancy,patient_58,10,1,2052,130,2182
redundancy,patient_57,5,1,927,112,1039
redundancy,patient_57,1,1,299,113,412
redundancy,patient_57,16,1,2654,112,2766
redundancy,patient_57,10,1,1712,112,1824
redundancy,patient_56,5,1,847,91,938
redundancy,patient_56,1,1,283,91,374
redundancy,patient_56,16,1,2398,91,2489
redundancy,patient_56,10,1,1552,91,1643
redundancy,patient_55,5,1,1057,122,1179
redundancy,patient_55,1,1,325,133,458
redundancy,patient_55,16,1,3070,121,3191
redundancy,patient_55,10,1,1972,122,2094
redundancy,patient_54,5,1,832,85,917
redundancy,patient_54,1,1,280,92,372
redundancy,patient_54,16,1,2350,85,2435
redundancy,patient_54,10,1,1522,85,1607
redundancy,patient_53,5,1,1197,136,1333
redundancy,patient_53,1,1,353,149,502
redundancy,patient_53,16,1,3518,136,3654
redundancy,patient_53,10,1,2252,136,2388
redundancy,patient_52,5,1,1132,112,1244
redundancy,patient_52,1,1,340,177,517
redundancy,patient_52,16,1,3310,117,3427
redundancy,patient_52,10,1,2122,112,2234
redundancy,patient_51,5,1,1412,134,1546
redundancy,patient_51,1,1,396,230,626
redundancy,patient_51,16,1,4206,138,4344
redundancy,patient_51,10,1,2682,138,2820
redundancy,patient_50,5,1,1042,116,1158
redundancy,patient_50,1,1,322,121,443
redundancy,patient_50,16,1,3022,116,3138
redundancy,patient_50,10,1,1942,116,2058
redundancy,patient_49,5,1,782,89,871
redundancy,patient_49,1,1,270,171,441
redundancy,patient_49,16,1,2190,94,2284
redundancy,patient_49,10,1,1422,89,1511
redundancy,patient_48,5,1,1097,130,1227
redundancy,patient_48,1,1,333,139,472
redundancy,patient_48,16,1,3198,130,3328
redundancy,patient_48,10,1,2052,130,2182
redundancy,patient_47,5,1,927,112,1039
redundancy,patient_47,1,1,299,113,412
redundancy,patient_47,16,1,2654,112,2766
redundancy,patient_47,10,1,1712,112,1824
redundancy,patient_46,5,1,847,91,938
redundancy,patient_46,1,1,283,91,374
redundancy,patient_46,16,1,2398,91,2489
redundancy,patient_46,10,1,1552,91,1643
redundancy,patient_45,5,1,1057,122,1179
redundancy,patient_45,1,1,325,133,458
redundancy,patient_45,16,1,3070,121,3191
redundancy,patient_45,10,1,1972,122,2094
redundancy,patient_44,5,1,832,85,917
redundancy,patient_44,1,1,280,92,372
redundancy,patient_44,16,1,2350,85,2435
redundancy,patient_44,10,1,1522,85,1607
redundancy,patient_43,5,1,1197,136,1333
redundancy,patient_43,1,1,353,149,502
redundancy,patient_43,16,1,3518,136,3654
redundancy,patient_43,10,1,2252,136,2388
redundancy,patient_42,5,1,1132,112,1244
redundancy,patient_42,1,1,340,177,517
redundancy,patient_42,16,1,3310,117,3427
redundancy,patient_42,10,1,2122,112,2234
redundancy,patient_41,5,1,1412,111,1523
redundancy,patient_41,1,1,396,230,626
redundancy,patient_41,16,1,4206,138,4344
redundancy,patient_41,10,1,2682,138,2820
redundancy,patient_40,5,1,1042,116,1158
redundancy,patient_40,1,1,322,121,443
redundancy,patient_40,16,1,3022,116,3138
redundancy,patient_40,10,1,1942,116,2058
redundancy,patient_39,5,1,782,89,871
redundancy,patient_39,1,1,270,100,370
redundancy,patient_39,16,1,2190,94,2284
redundancy,patient_39,10,1,1422,89,1511
redundancy,patient_38,5,1,1097,130,1227
redundancy,patient_38,1,1,333,139,472
redundancy,patient_38,16,1,3198,130,3328
redundancy,patient_38,10,1,2052,130,2182
redundancy,patient_37,5,1,927,112,1039
redundancy,patient_37,1,1,299,113,412
redundancy,patient_37,16,1,2654,112,2766
redundancy,patient_37,10,1,1712,112,1824
redundancy,patient_36,5,1,847,91,938
redundancy,patient_36,1,1,283,91,374
redundancy,patient_36,16,1,2398,91,2489
redundancy,patient_36,10,1,1552,91,1643
redundancy,patient_35,5,1,1057,122,1179
redundancy,patient_35,1,1,325,133,458
redundancy,patient_35,16,1,3070,121,3191
redundancy,patient_35,10,1,1972,122,2094
redundancy,patient_34,5,1,832,85,917
redundancy,patient_34,1,1,280,92,372
redundancy,patient_34,16,1,2350,85,2435
redundancy,patient_34,10,1,1522,85,1607
redundancy,patient_33,5,1,1197,136,1333
redundancy,patient_33,1,1,353,149,502
redundancy,patient_33,16,1,3518,136,3654
redundancy,patient_33,10,1,2252,136,2388
redundancy,patient_32,5,1,1132,112,1244
redundancy,patient_32,1,1,340,177,517
redundancy,patient_32,16,1,3310,117,3427
redundancy,patient_32,10,1,2122,112,2234
redundancy,patient_31,5,1,1412,134,1546
redundancy,patient_31,1,1,396,230,626
redundancy,patient_31,16,1,4206,138,4344
redundancy,patient_31,10,1,2682,138,2820
redundancy,patient_30,5,1,1042,116,1158
redundancy,patient_30,1,1,322,121,443
redundancy,patient_30,16,1,3022,116,3138
redundancy,patient_30,10,1,1942,116,2058
redundancy,patient_29,5,1,782,89,871
redundancy,patient_29,1,1,270,100,370
redundancy,patient_29,16,1,2190,94,2284
redundancy,patient_29,10,1,1422,89,1511
redundancy,patient_28,5,1,1097,130,1227
redundancy,patient_28,1,1,333,139,472
redundancy,patient_28,16,1,3198,130,3328
redundancy,patient_28,10,1,2052,130,2182
redundancy,patient_27,5,1,927,112,1039
redundancy,patient_27,1,1,299,113,412
redundancy,patient_27,16,1,2654,112,2766
redundancy,patient_27,10,1,1712,112,1824
redundancy,patient_26,5,1,847,91,938
redundancy,patient_26,1,1,283,91,374
redundancy,patient_26,16,1,2398,91,2489
redundancy,patient_26,10,1,1552,91,1643
redundancy,patient_25,5,1,1057,122,1179
redundancy,patient_25,1,1,325,133,458
redundancy,patient_25,16,1,3070,121,3191
redundancy,patient_25,10,1,1972,122,2094
redundancy,patient_24,5,1,832,85,917
redundancy,patient_24,1,1,280,92,372
redundancy,patient_24,16,1,2350,85,2435
redundancy,patient_24,10,1,1522,85,1607
redundancy,patient_23,5,1,1197,136,1333
redundancy,patient_23,1,1,353,149,502
redundancy,patient_23,16,1,3518,136,3654
redundancy,patient_23,10,1,2252,136,2388
redundancy,patient_22,5,1,1132,112,1244
redundancy,patient_22,1,1,340,177,517
redundancy,patient_22,16,1,3310,117,3427
redundancy,patient_22,10,1,2122,112,2234
redundancy,patient_21,5,1,1412,134,1546
redundancy,patient_21,1,1,396,230,626
redundancy,patient_21,16,1,4206,138,4344
redundancy,patient_21,10,1,2682,138,2820
redundancy,patient_20,5,1,1042,116,1158
redundancy,patient_20,1,1,322,121,443
redundancy,patient_20,16,1,3022,116,3138
redundancy,patient_20,10,1,1942,116,2058
redundancy,patient_19,5,1,782,89,871
redundancy,patient_19,1,1,270,100,370
redundancy,patient_19,16,1,2190,94,2284
redundancy,patient_19,10,1,1422,89,1511
redundancy,patient_18,5,1,1097,130,1227
redundancy,patient_18,1,1,333,139,472
redundancy,patient_18,16,1,3198,130,3328
redundancy,patient_18,10,1,2052,130,2182
redundancy,patient_17,5,1,927,112,1039
redundancy,patient_17,1,1,299,113,412
redundancy,patient_17,16,1,2654,112,2766
redundancy,patient_17,10,1,1712,112,1824
redundancy,patient_16,5,1,847,91,938
redundancy,patient_16,1,1,283,91,374
redundancy,patient_16,16,1,2398,91,2489
redundancy,patient_16,10,1,1552,91,1643
redundancy,patient_15,5,1,1057,122,1179
redundancy,patient_15,1,1,325,133,458
redundancy,patient_15,16,1,3070,121,3191
redundancy,patient_15,10,1,1972,122,2094
redundancy,patient_14,5,1,832,85,917
redundancy,patient_14,1,1,280,92,372
redundancy,patient_14,16,1,2350,85,2435
redundancy,patient_14,10,1,1522,85,1607
redundancy,patient_13,5,1,1197,136,1333
redundancy,patient_13,1,1,353,149,502
redundancy,patient_13,16,1,3518,136,3654
redundancy,patient_13,10,1,2252,136,2388
redundancy,patient_12,5,1,1132,112,1244
redundancy,patient_12,1,1,340,177,517
redundancy,patient_12,16,1,3310,117,3427
redundancy,patient_12,10,1,2122,112,2234
redundancy,patient_11,5,1,1412,134,1546
redundancy,patient_11,1,1,396,230,626
redundancy,patient_11,16,1,4206,138,4344
redundancy,patient_11,10,1,2682,138,2820
redundancy,patient_100,5,1,1042,116,1158
redundancy,patient_100,1,1,322,121,443
redundancy,patient_100,16,1,3022,116,3138
redundancy,patient_100,10,1,1942,116,2058
redundancy,patient_10,5,1,1042,116,1158
redundancy,patient_10,1,1,322,121,443
redundancy,patient_10,16,1,3022,116,3138
redundancy,patient_10,10,1,1942,116,2058
redundancy,patient_09,5,1,782,89,871
redundancy,patient_09,1,1,270,171,441
redundancy,patient_09,16,1,2190,94,2284
redundancy,patient_09,10,1,1422,89,1511
redundancy,patient_08,5,1,1097,130,1227
redundancy,patient_08,1,1,333,139,472
redundancy,patient_08,16,1,3198,130,3328
redundancy,patient_08,10,1,2052,130,2182
redundancy,patient_07,5,1,927,112,1039
redundancy,patient_07,1,1,299,113,412
redundancy,patient_07,16,1,2654,112,2766
redundancy,patient_07,10,1,1712,112,1824
redundancy,patient_06,5,1,847,91,938
redundancy,patient_06,1,1,283,91,374
redundancy,patient_06,16,1,2398,91,2489
redundancy,patient_06,10,1,1552,91,1643
redundancy,patient_05,5,1,1057,122,1179
redundancy,patient_05,1,1,325,133,458
redundancy,patient_05,16,1,3070,121,3191
redundancy,patient_05,10,1,1972,122,2094
redundancy,patient_04,5,1,832,85,917
redundancy,patient_04,1,1,280,92,372
redundancy,patient_04,16,1,2350,85,2435
redundancy,patient_04,10,1,1522,85,1607
redundancy,patient_03,5,1,1197,136,1333
redundancy,patient_03,1,1,353,149,502
redundancy,patient_03,16,1,3518,136,3654
redundancy,patient_03,10,1,2252,136,2388
redundancy,patient_02,5,1,1132,112,1244
redundancy,patient_02,1,1,340,177,517
redundancy,patient_02,16,1,3310,117,3427
redundancy,patient_02,10,1,2122,112,2234
redundancy,patient_01,5,1,1412,134,1546
redundancy,patient_01,1,1,396,230,626
redundancy,patient_01,16,1,4206,138,4344
redundancy,patient_01,10,1,2682,138,2820
filler,patient_99,5,1,554,100,654
filler,patient_99,1,1,272,100,372
filler,patient_99,16,1,1242,94,1336
filler,patient_99,10,1,870,100,970
filler,patient_98,5,1,713,130,843
filler,patient_98,1,1,336,139,475
filler,patient_98,16,1,1752,130,1882
filler,patient_98,10,1,1212,130,1342
filler,patient_97,5,1,603,121,724
filler,patient_97,1,1,301,113,414
filler,patient_97,16,1,1436,112,1548
filler,patient_97,10,1,983,112,1095
filler,patient_96,5,1,579,91,670
filler,patient_96,1,1,285,91,376
filler,patient_96,16,1,1314,91,1405
filler,patient_96,10,1,906,91,997
filler,patient_95,5,1,675,122,797
filler,patient_95,1,1,328,133,461
filler,patient_95,16,1,1643,122,1765
filler,patient_95,10,1,1135,122,1257
filler,patient_94,5,1,576,92,668
filler,patient_94,1,1,282,92,374
filler,patient_94,16,1,1326,85,1411
filler,patient_94,10,1,923,85,1008
filler,patient_93,5,1,768,149,917
filler,patient_93,1,1,356,149,505
filler,patient_93,16,1,1894,149,2043
filler,patient_93,10,1,1281,149,1430
filler,patient_92,5,1,718,112,830
filler,patient_92,1,1,342,162,504
filler,patient_92,16,1,1766,112,1878
filler,patient_92,10,1,1205,112,1317
filler,patient_91,5,1,916,151,1067
filler,patient_91,1,1,399,214,613
filler,patient_91,16,1,2301,138,2439
filler,patient_91,10,1,1518,139,1657
filler,patient_90,5,1,693,113,806
filler,patient_90,1,1,325,121,446
filler,patient_90,16,1,1641,113,1754
filler,patient_90,10,1,1145,113,1258
filler,patient_89,5,1,540,100,640
filler,patient_89,1,1,272,100,372
filler,patient_89,16,1,1256,94,1350
filler,patient_89,10,1,861,100,961
filler,patient_88,5,1,722,130,852
filler,patient_88,1,1,336,139,475
filler,patient_88,16,1,1779,130,1909
filler,patient_88,10,1,1208,130,1338
filler,patient_87,5,1,615,121,736
filler,patient_87,1,1,301,113,414
filler,patient_87,16,1,1438,112,1550
filler,patient_87,10,1,992,112,1104
filler,patient_86,5,1,578,91,669
filler,patient_86,1,1,285,91,376
filler,patient_86,16,1,1317,91,1408
filler,patient_86,10,1,911,91,1002
filler,patient_85,5,1,669,122,791
filler,patient_85,1,1,328,133,461
filler,patient_85,16,1,1642,122,1764
filler,patient_85,10,1,1132,121,1253
filler,patient_84,5,1,568,92,660
filler,patient_84,1,1,282,92,374
filler,patient_84,16,1,1320,85,1405
filler,patient_84,10,1,894,85,979
filler,patient_83,5,1,761,149,910
filler,patient_83,1,1,356,149,505
filler,patient_83,16,1,1901,149,2050
filler,patient_83,10,1,1283,149,1432
filler,patient_82,5,1,718,112,830
filler,patient_82,1,1,342,162,504
filler,patient_82,16,1,1760,112,1872
filler,patient_82,10,1,1201,112,1313
filler,patient_81,5,1,909,151,1060
filler,patient_81,1,1,399,214,613
filler,patient_81,16,1,2303,138,2441
filler,patient_81,10,1,1556,138,1694
filler,patient_80,5,1,681,113,794
filler,patient_80,1,1,325,121,446
filler,patient_80,16,1,1630,113,1743
filler,patient_80,10,1,1103,113,1216
filler,patient_79,5,1,537,100,637
filler,patient_79,1,1,272,100,372
filler,patient_79,16,1,1208,89,1297
filler,patient_79,10,1,846,100,946
filler,patient_78,5,1,729,130,859
filler,patient_78,1,1,336,139,475
filler,patient_78,16,1,1787,131,1918
filler,patient_78,10,1,1178,130,1308
filler,patient_77,5,1,617,121,738
filler,patient_77,1,1,301,113,414
filler,patient_77,16,1,1439,112,1551
filler,patient_77,10,1,1002,112,1114
filler,patient_76,5,1,571,91,662
filler,patient_76,1,1,285,91,376
filler,patient_76,16,1,1299,91,1390
filler,patient_76,10,1,910,91,1001
filler,patient_75,5,1,695,122,817
filler,patient_75,1,1,328,133,461
filler,patient_75,16,1,1663,122,1785
filler,patient_75,10,1,1128,122,1250
filler,patient_74,5,1,566,85,651
filler,patient_74,1,1,282,92,374
filler,patient_74,16,1,1315,85,1400
filler,patient_74,10,1,895,85,980
filler,patient_73,5,1,766,149,915
filler,patient_73,1,1,356,149,505
filler,patient_73,16,1,1887,136,2023
filler,patient_73,10,1,1263,149,1412
filler,patient_72,5,1,733,162,895
filler,patient_72,1,1,342,162,504
filler,patient_72,16,1,1751,117,1868
filler,patient_72,10,1,1186,112,1298
filler,patient_71,5,1,917,138,1055
filler,patient_71,1,1,399,214,613
filler,patient_71,16,1,2327,138,2465
filler,patient_71,10,1,1540,139,1679
filler,patient_70,5,1,680,113,793
filler,patient_70,1,1,325,121,446
filler,patient_70,16,1,1664,113,1777
filler,patient_70,10,1,1112,113,1225
filler,patient_69,5,1,534,89,623
filler,patient_69,1,1,272,100,372
filler,patient_69,16,1,1256,94,1350
filler,patient_69,10,1,855,94,949
filler,patient_68,5,1,724,130,854
filler,patient_68,1,1,336,139,475
filler,patient_68,16,1,1770,130,1900
filler,patient_68,10,1,1187,130,1317
filler,patient_67,5,1,607,121,728
filler,patient_67,1,1,301,113,414
filler,patient_67,16,1,1445,112,1557
filler,patient_67,10,1,973,112,1085
filler,patient_66,5,1,572,91,663
filler,patient_66,1,1,285,91,376
filler,patient_66,16,1,1297,91,1388
filler,patient_66,10,1,901,91,992
filler,patient_65,5,1,682,122,804
filler,patient_65,1,1,328,133,461
filler,patient_65,16,1,1630,122,1752
filler,patient_65,10,1,1146,122,1268
filler,patient_64,5,1,564,92,656
filler,patient_64,1,1,282,92,374
filler,patient_64,16,1,1299,85,1384
filler,patient_64,10,1,895,85,980
filler,patient_63,5,1,769,149,918
filler,patient_63,1,1,353,149,502
filler,patient_63,16,1,1882,149,2031
filler,patient_63,10,1,1267,149,1416
filler,patient_62,5,1,714,112,826
filler,patient_62,1,1,340,177,517
filler,patient_62,16,1,1774,112,1886
filler,patient_62,10,1,1208,112,1320
filler,patient_61,5,1,911,138,1049
filler,patient_61,1,1,396,230,626
filler,patient_61,16,1,2253,139,2392
filler,patient_61,10,1,1534,139,1673
filler,patient_60,5,1,687,113,800
filler,patient_60,1,1,322,121,443
filler,patient_60,16,1,1640,113,1753
filler,patient_60,10,1,1106,116,1222
filler,patient_59,5,1,547,100,647
filler,patient_59,1,1,270,100,370
filler,patient_59,16,1,1234,94,1328
filler,patient_59,10,1,849,94,943
filler,patient_58,5,1,721,130,851
filler,patient_58,1,1,333,139,472
filler,patient_58,16,1,1766,131,1897
filler,patient_58,10,1,1196,130,1326
filler,patient_57,5,1,606,112,718
filler,patient_57,1,1,299,113,412
filler,patient_57,16,1,1434,112,1546
filler,patient_57,10,1,1028,112,1140
filler,patient_56,5,1,562,91,653
filler,patient_56,1,1,283,91,374
filler,patient_56,16,1,1292,91,1383
filler,patient_56,10,1,882,91,973
filler,patient_55,5,1,684,122,806
filler,patient_55,1,1,325,133,458
filler,patient_55,16,1,1653,122,1775
filler,patient_55,10,1,1127,121,1248
filler,patient_54,5,1,569,85,654
filler,patient_54,1,1,280,92,372
filler,patient_54,16,1,1302,85,1387
filler,patient_54,10,1,912,85,997
filler,patient_53,5,1,766,149,915
filler,patient_53,1,1,353,149,502
filler,patient_53,16,1,1880,136,2016
filler,patient_53,10,1,1263,149,1412
filler,patient_52,5,1,721,112,833
filler,patient_52,1,1,340,177,517
filler,patient_52,16,1,1782,154,1936
filler,patient_52,10,1,1206,112,1318
filler,patient_51,5,1,911,132,1043
filler,patient_51,1,1,396,230,626
filler,patient_51,16,1,2300,138,2438
filler,patient_51,10,1,1531,133,1664
filler,patient_50,5,1,670,116,786
filler,patient_50,1,1,322,121,443
filler,patient_50,16,1,1619,113,1732
filler,patient_50,10,1,1118,116,1234
filler,patient_49,5,1,538,100,638
filler,patient_49,1,1,270,100,370
filler,patient_49,16,1,1235,94,1329
filler,patient_49,10,1,862,94,956
filler,patient_48,5,1,710,130,840
filler,patient_48,1,1,333,139,472
filler,patient_48,16,1,1769,131,1900
filler,patient_48,10,1,1200,130,1330
filler,patient_47,5,1,616,121,737
filler,patient_47,1,1,299,113,412
filler,patient_47,16,1,1442,112,1554
filler,patient_47,10,1,979,112,1091
filler,patient_46,5,1,571,91,662
filler,patient_46,1,1,283,91,374
filler,patient_46,16,1,1307,91,1398
filler,patient_46,10,1,878,91,969
filler,patient_45,5,1,685,122,807
filler,patient_45,1,1,325,133,458
filler,patient_45,16,1,1655,122,1777
filler,patient_45,10,1,1120,122,1242
filler,patient_44,5,1,576,85,661
filler,patient_44,1,1,280,92,372
filler,patient_44,16,1,1317,85,1402
filler,patient_44,10,1,911,85,996
filler,patient_43,5,1,774,149,923
filler,patient_43,1,1,353,149,502
filler,patient_43,16,1,1886,136,2022
filler,patient_43,10,1,1277,136,1413
filler,patient_42,5,1,714,162,876
filler,patient_42,1,1,340,177,517
filler,patient_42,16,1,1779,112,1891
filler,patient_42,10,1,1197,112,1309
filler,patient_41,5,1,922,138,1060
filler,patient_41,1,1,396,230,626
filler,patient_41,16,1,2323,138,2461
filler,patient_41,10,1,1530,139,1669
filler,patient_40,5,1,678,113,791
filler,patient_40,1,1,322,121,443
filler,patient_40,16,1,1640,113,1753
filler,patient_40,10,1,1107,116,1223
filler,patient_39,5,1,534,100,634
filler,patient_39,1,1,270,171,441
filler,patient_39,16,1,1201,94,1295
filler,patient_39,10,1,861,94,955
filler,patient_38,5,1,723,130,853
filler,patient_38,1,1,333,139,472
filler,patient_38,16,1,1780,131,1911
filler,patient_38,10,1,1195,130,1325
filler,patient_37,5,1,610,121,731
filler,patient_37,1,1,299,113,412
filler,patient_37,16,1,1461,112,1573
filler,patient_37,10,1,971,112,1083
filler,patient_36,5,1,561,91,652
filler,patient_36,1,1,283,91,374
filler,patient_36,16,1,1315,91,1406
filler,patient_36,10,1,912,91,1003
filler,patient_35,5,1,676,122,798
filler,patient_35,1,1,325,133,458
filler,patient_35,16,1,1633,122,1755
filler,patient_35,10,1,1132,121,1253
filler,patient_34,5,1,561,85,646
filler,patient_34,1,1,280,92,372
filler,patient_34,16,1,1321,85,1406
filler,patient_34,10,1,923,85,1008
filler,patient_33,5,1,775,149,924
filler,patient_33,1,1,353,149,502
filler,patient_33,16,1,1866,136,2002
filler,patient_33,10,1,1291,136,1427
filler,patient_32,5,1,731,112,843
filler,patient_32,1,1,340,177,517
filler,patient_32,16,1,1761,117,1878
filler,patient_32,10,1,1192,112,1304
filler,patient_31,5,1,901,138,1039
filler,patient_31,1,1,396,230,626
filler,patient_31,16,1,2282,138,2420
filler,patient_31,10,1,1530,139,1669
filler,patient_30,5,1,682,113,795
filler,patient_30,1,1,322,121,443
filler,patient_30,16,1,1651,113,1764
filler,patient_30,10,1,1123,113,1236
filler,patient_29,5,1,525,94,619
filler,patient_29,1,1,270,100,370
filler,patient_29,16,1,1232,94,1326
filler,patient_29,10,1,886,94,980
filler,patient_28,5,1,724,130,854
filler,patient_28,1,1,333,139,472
