model_key,model,condition,patient_id,repetition,run,prompt_tokens,completion_tokens,total_tokens,estimated_cost
qwen72b,Qwen/Qwen2.5-72B-Instruct,filler_control,patient_06,10,1,899,111,1010,0.00036804000000000003
qwen72b,Qwen/Qwen2.5-72B-Instruct,filler_control,patient_06,16,1,1320,111,1431,0.0005195999999999999
qwen72b,Qwen/Qwen2.5-72B-Instruct,filler_control,patient_06,32,1,2397,111,2508,0.0009073200000000001
qwen72b,Qwen/Qwen2.5-72B-Instruct,filler_control,patient_07,1,1,317,119,436,0.00016172
qwen72b,Qwen/Qwen2.5-72B-Instruct,filler_control,patient_07,2,1,400,119,519,0.0001916
qwen72b,Qwen/Qwen2.5-72B-Instruct,filler_control,patient_07,5,1,654,133,787,0.00028864
qwen72b,Qwen/Qwen2.5-72B-Instruct,filler_control,patient_07,10,1,997,133,1130,0.00041212
qwen72b,Qwen/Qwen2.5-72B-Instruct,filler_control,patient_07,16,1,1473,124,1597,0.00057988
qwen72b,Qwen/Qwen2.5-72B-Instruct,filler_control,patient_07,32,1,2647,124,2771,0.00100252
qwen72b,Qwen/Qwen2.5-72B-Instruct,filler_control,patient_08,1,1,356,143,499,0.00018536
qwen72b,Qwen/Qwen2.5-72B-Instruct,filler_control,patient_08,2,1,451,143,594,0.00021956
qwen72b,Qwen/Qwen2.5-72B-Instruct,filler_control,patient_08,5,1,747,143,890,0.00032612
qwen72b,Qwen/Qwen2.5-72B-Instruct,filler_control,patient_08,10,1,1208,143,1351,0.00049208
qwen72b,Qwen/Qwen2.5-72B-Instruct,filler_control,patient_08,16,1,1815,143,1958,0.0007106
qwen72b,Qwen/Qwen2.5-72B-Instruct,filler_control,patient_08,32,1,3302,143,3445,0.0012459200000000002
qwen72b,Qwen/Qwen2.5-72B-Instruct,filler_control,patient_09,1,1,287,100,387,0.00014332
qwen72b,Qwen/Qwen2.5-72B-Instruct,filler_control,patient_09,2,1,356,100,456,0.00016816000000000002
qwen72b,Qwen/Qwen2.5-72B-Instruct,filler_control,patient_09,5,1,554,108,662,0.00024264000000000002
qwen72b,Qwen/Qwen2.5-72B-Instruct,filler_control,patient_09,10,1,876,108,984,0.00035856
qwen72b,Qwen/Qwen2.5-72B-Instruct,filler_control,patient_09,16,1,1284,108,1392,0.00050544
qwen72b,Qwen/Qwen2.5-72B-Instruct,filler_control,patient_09,32,1,2286,105,2391,0.00086496
qwen72b,Qwen/Qwen2.5-72B-Instruct,filler_control,patient_10,1,1,339,131,470,0.00017444000000000002
qwen72b,Qwen/Qwen2.5-72B-Instruct,filler_control,patient_10,2,1,438,123,561,0.00020688000000000003
qwen72b,Qwen/Qwen2.5-72B-Instruct,filler_control,patient_10,5,1,696,123,819,0.00029976000000000004
qwen72b,Qwen/Qwen2.5-72B-Instruct,filler_control,patient_10,10,1,1161,123,1284,0.00046716
qwen72b,Qwen/Qwen2.5-72B-Instruct,filler_control,patient_10,16,1,1662,123,1785,0.0006475200000000001
qwen72b,Qwen/Qwen2.5-72B-Instruct,filler_control,patient_10,32,1,3024,123,3147,0.00113784
